epoch,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,lr
0,0.4548,0.9737,0.9215,0.1245,0.9908,0.9460,6.67e-04
1,0.3380,0.9871,0.9460,0.1041,0.9952,0.9619,1.00e-03
2,0.2462,0.9955,0.9688,0.0798,0.9958,0.9714,1.00e-03
3,0.1856,0.9981,0.9840,0.0861,0.9954,0.9619,9.97e-04
4,0.1351,0.9997,0.9939,0.0809,0.9966,0.9730,9.87e-04
5,0.1185,0.9999,0.9963,0.0903,0.9962,0.9746,9.70e-04
6,0.1199,0.9997,0.9912,0.0901,0.9946,0.9683,9.47e-04
7,0.1092,0.9997,0.9959,0.0875,0.9962,0.9746,9.18e-04
8,0.1023,1.0000,0.9976,0.0856,0.9960,0.9762,8.83e-04
9,0.0961,1.0000,0.9997,0.0624,0.9983,0.9778,8.43e-04
10,0.0935,1.0000,1.0000,0.0699,0.9985,0.9794,7.99e-04
11,0.0926,1.0000,1.0000,0.0653,0.9987,0.9794,7.50e-04
12,0.0934,1.0000,0.9997,0.0612,0.9988,0.9810,6.98e-04
13,0.0921,1.0000,1.0000,0.0627,0.9986,0.9825,6.43e-04
14,0.0919,1.0000,1.0000,0.0613,0.9985,0.9825,5.87e-04
15,0.0913,1.0000,1.0000,0.0928,0.9981,0.9794,5.29e-04
16,0.1005,0.9999,0.9966,0.0821,0.9975,0.9762,4.71e-04
17,0.0917,1.0000,1.0000,0.0798,0.9972,0.9778,4.13e-04
18,0.0906,1.0000,1.0000,0.0666,0.9980,0.9794,3.57e-04
19,0.0902,1.0000,1.0000,0.0688,0.9982,0.9825,3.02e-04
20,0.0897,1.0000,1.0000,0.0719,0.9982,0.9810,2.50e-04
21,0.0895,1.0000,1.0000,0.0718,0.9982,0.9810,2.01e-04
22,0.0922,1.0000,0.9997,0.0741,0.9982,0.9825,1.57e-04
