video_id,generator,source,type,label,cluster,split,data_dir,n_frames,best_haar_band,best_haar_jsd
0_a,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/0_a,16,LH1,0.4265
0_b,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/0_b,16,LH1,0.4265
0_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/0_c,16,LH1,0.4265
0_d,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/0_d,16,LH1,0.4265
0_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/0_e,16,LH1,0.4265
100_a,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/100_a,16,LH1,0.4265
100_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/100_b,16,LH1,0.4265
100_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/100_c,16,LH1,0.4265
100_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/100_d,16,LH1,0.4265
100_e,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/100_e,16,LH1,0.4265
101_a,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/101_a,16,LH1,0.4265
101_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/101_b,16,LH1,0.4265
101_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/101_c,16,LH1,0.4265
101_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/101_d,16,LH1,0.4265
101_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/101_e,16,LH1,0.4265
102_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/102_a,16,LH1,0.4265
102_b,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/102_b,16,LH1,0.4265
102_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/102_c,16,LH1,0.4265
102_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/102_d,16,LH1,0.4265
102_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/102_e,16,LH1,0.4265
103_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/103_a,16,LH1,0.4265
103_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/103_b,16,LH1,0.4265
103_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/103_c,16,LH1,0.4265
103_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/103_d,16,LH1,0.4265
103_e,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/103_e,16,LH1,0.4265
10_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/10_a,16,LH1,0.4265
10_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/10_b,16,LH1,0.4265
10_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/10_c,16,LH1,0.4265
10_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/10_d,16,LH1,0.4265
10_e,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/10_e,16,LH1,0.4265
11_a,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/11_a,16,LH1,0.4265
11_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/11_b,16,LH1,0.4265
11_c,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/11_c,16,LH1,0.4265
11_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/11_d,16,LH1,0.4265
11_e,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/11_e,16,LH1,0.4265
12_a,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/12_a,16,LH1,0.4265
12_b,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/12_b,16,LH1,0.4265
12_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/12_c,16,LH1,0.4265
12_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/12_d,16,LH1,0.4265
12_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/12_e,16,LH1,0.4265
13_a,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/13_a,16,LH1,0.4265
13_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/13_b,16,LH1,0.4265
13_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/13_c,16,LH1,0.4265
13_d,deepaction_animatediff,deepaction_v1,fake,1,1,val,/data/deepfake_pipeline/processed/deepaction_animatediff/13_d,16,LH1,0.4265
13_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/13_e,16,LH1,0.4265
14_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/14_a,16,LH1,0.4265
14_b,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/14_b,16,LH1,0.4265
14_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/14_c,16,LH1,0.4265
14_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/14_d,16,LH1,0.4265
14_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/14_e,16,LH1,0.4265
15_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/15_a,16,LH1,0.4265
15_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/15_b,16,LH1,0.4265
15_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/15_c,16,LH1,0.4265
15_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/15_d,16,LH1,0.4265
15_e,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/15_e,16,LH1,0.4265
16_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/16_a,16,LH1,0.4265
16_b,deepaction_animatediff,deepaction_v1,fake,1,1,test,/data/deepfake_pipeline/processed/deepaction_animatediff/16_b,16,LH1,0.4265
