video_id,generator,source,type,label,cluster,split,data_dir,n_frames,best_haar_band,best_haar_jsd
64_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/64_c,16,LH1,0.4265
3_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/3_c,16,LH1,0.4265
8_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/8_e,16,LH1,0.4265
93_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/93_a,16,LH1,0.4265
41_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/41_d,16,LH1,0.4265
47_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/47_c,16,LH1,0.4265
53_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/53_b,16,LH1,0.4265
44_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/44_b,16,LH1,0.4265
21_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/21_d,16,LH1,0.4265
27_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/27_e,16,LH1,0.4265
83_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/83_d,16,LH1,0.4265
24_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/24_d,16,LH1,0.4265
2_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/2_c,16,LH1,0.4265
60_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/60_e,16,LH1,0.4265
44_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/44_c,16,LH1,0.4265
38_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/38_c,16,LH1,0.4265
25_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/25_b,16,LH1,0.4265
23_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/23_e,16,LH1,0.4265
81_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/81_e,16,LH1,0.4265
45_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/45_e,16,LH1,0.4265
88_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/88_b,16,LH1,0.4265
41_b,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/41_b,16,LH1,0.4265
67_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/67_e,16,LH1,0.4265
22_c,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/22_c,16,LH1,0.4265
81_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/81_d,16,LH1,0.4265
58_e,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/58_e,16,LH1,0.4265
92_a,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/92_a,16,LH1,0.4265
55_d,deepaction_animatediff,deepaction_v1,fake,1,1,train,/data/deepfake_pipeline/processed/deepaction_animatediff/55_d,16,LH1,0.4265
